iso3166alpha3code
AIA
ANT
ASM
ABW
ALA
BVT
CCK
COD
COK
SCG
CXR
FSM
GGY
GIB
SGS
GUM
HKG
HMD
IMN
IOT
JEY
KNA
CYM
MNE 
MHL
MSR
NFK
NRU
NIU
SPM
PCN
PSE
PLW
ROU
SRB
SHN
ATF
TKL
TLS
TUV
UMI
VAT
VGB
VIR
WLF
MYT
