pplid	pplxid
3390760	3411112
3390760	3411117
3399415	3411142
3405870	3411168
3411457	3411454
3411457	3411455
3411457	3411458
3429316	3429860
3435073	3429861
3427552	3430087
3456290	3445056
3449433	3445058
3448439	3445062
3449433	3445063
3461786	3445067
3461570	3445075
3467431	3445085
3455775	3445092
3464374	3445107
3457437	3445298
3474741	3445574
3449324	3445648
3514669	3514674
3514751	3514874
3523509	3515135
3514751	3516437
3526683	3517279
3527634	3518706
3517945	3519416
3532347	3519897
3515368	3519962
3514751	3521266
3827408	3521305
3514751	3521556
3514751	3521649
3531466	3522598
3523274	3523751
3650308	3650302
3650308	3650303
3650447	3653157
3660776	3655119
3655879	3655205
6252007	3688884
3657533	3745561
3651322	3745574
3663517	3754114
3763509	3763506
3763509	3763507
3745390	3790835
3855598	3832644
3832772	3832737
3842848	3833423
3911925	3901538
3882722	3868044
3836240	3864635
3844899	3864637
3838583	3865421
3860259	3866169
3854895	3866418
3911925	3921359
1167918	1342052
2511302	2514983
6355016	2519354
2511302	2520952
2509607	2520948
6544354	2520951
3011090	3006433
2019246	2056751
2192941	6244792
2180255	6205086
6204696	6204695
875570	487172
3175004	6252018
2816077	2805173
1808870	1791351
2829568	2806860
2862487	2807245
2848932	2818432
2867505	2835462
2875826	2842628
2884509	2843790
2882200	2846324
2956320	2850868
2820168	2810834
2887268	2890789
2952671	2931317
2948601	2950591
2927043	2953533
2841631	2956829
2807748	2958105
2807290	3208602
2807290	3208610
2873525	2948066
633207	649861
648900	6252045
633207	6252047
648900	6252053
633207	6252048
2701680	6252056
632075	6252046
648900	6252052
648900	6252049
1816670	1899233
6254470	1667380
1888642	1667379
1888642	1671654
3929173	3945722
3944637	3943835
3942764	3942765
3719146	3724802
3719028	3723754
3728087	3721718
3720526	3720380
3725446	3718991
3725919	3716899
6254860	3716712
3719028	3725116
2971321	3234502
285787	285856
745044	747145
3489854	3490165
99532	388349
666498	671196
1816221	1795816
2978061	2978060
2980483	3014978
3827406	3515480
2922260	2891620
-1	6125706
498064	554360
3109982	3119775
2673730	2682602
2673851	2675943
6640247	2516198
2519111	2518039
6355016	2513758
3072049	6269540
6544431	2517691
2147714	2142996
2147714	2145540
2147714	2164123
3185908	3184675
2930166	2812115
2918408	2819470
2855532	2823695
2940465	2850216
2935109	2851635
2818124	2872696
2953269	2874434
2855556	2876468
2940759	2886200
2880913	2904400
2879426	2941494
2827559	2952667
2821791	2851917
2900248	2932029
589710	588640
793307	589887
794906	591015
591921	795254
721419	714930
3055060	3043074
3049245	3043841
3048464	3051554
3056166	3052863
3045373	3054059
3055506	3056420
1850451	1849721
1853909	1852756
1865485	1857748
1859171	1859638
1850147	1861714
1859642	1863820
1871859	1868885
6274995	271053
2274275	2597310
458581	829149
2551928	2542655
2949078	2753841
762585	754126
3084381	3084380
3100894	3092750
3080756	3098056
683304	669447
677880	673759
679907	674082
668143	685807
-1	400677
108410	448598
377039	413201
1880755	1884300
2245665	2595457
2877102	2875991
529368	574675
555639	555115
2177854	2148513
1888074	1771028
588516	590398
268783	268129
276324	274473
290252	290253
3067696	6285771
2840588	2929530
6294930	2659504
2661362	2658344
6294980	2658172
859081	833260
785842	833262
6290306	863665
785897	790012
6290306	863666
785897	788372
785842	833264
3076771	3075297
3068455	3073474
3074141	3075745
3076771	3065167
3064744	3068089
1005925	6295580
1819729	1819907
1005925	1013214
1819729	1818675
1005925	1013213
1011858	6295583
2854673	2902143
2873603	2835615
2873603	2945475
2937545	2814055
6292896	2660030
2658468	2660801
2661265	2659942
2659571	2661668
2660646	2660956
2661265	2660023
2661252	2660257
2661604	2660148
2660646	2659137
2660102	2658823
3012979	2658817
2658377	2658741
2660646	2658659
6295539	2658017
2660365	2657972
2658927	6291717
2658927	6291716
2659083	6291715
2659083	6291714
2659083	6291713
2659083	6291712
2659083	6291711
6295429	6295304
6295307	6295303
6295429	6295302
2658524	6295301
6295307	6295300
6295313	6295299
6295313	6295298
6295429	6295297
6295313	6295296
2658524	6295295
2661496	6295293
2661496	6295266
